"All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI"
247,"AGC100019",17339,411,20,1,"shg2005","AOlf",17339,449,420,411,20,2.5,1.18,9.2,1,1.3
250,"UGC00014",7265,331,13,2,"shg2005","AOlf",7278,362,349,340,18,4.2,7.21,8.8,1,7.7
252,"AGC100018",,,,,"shg2005","AOlf",12035,425,404,,30,1.9,1.3,8.9,1,1.5
255,"UGC00017",878,98,16,1,"shg2005","AOlf",878,108,104,98,16,7.2,2.41,8.3,1,10.8
257,"AGC102898",7949,242,18,1,"hgm2011","ALFA",7949,260,251,242,18,4,2.94,5.5,1,5.6
258,"UGC00015",,,,,"shg2005","AOlf",11577,576,550,,40,2.6,2.87,9,1,2.5
259,"AGC100020",6412,253,20,1,"shg2005","AOlf",6412,272,262,253,20,4,2.57,8.6,1,4.7
263,"UGC00016",5257,167,8,1,"shg2005","AOlf",5257,183,175,167,8,28.6,7.54,8.7,1,18.9
268,"AGC102736",2934,71,17,1,"hgm2011","ALFA",2934,78,75,71,17,4.9,1.05,5.2,1,5.3
279,"NGC007817",2311,411,11,1,"ctm2010","GBT",2311,426,420,411,11,12.4,14.02,1.6,4,16.4
287,"NGC007813",,,,,"tmc2006","Nanc",9105,395,372,,40,4.4,5.11,10.9,2,5.9
288,"UGC00021",6200,175,12,1,"shg2005","AOlf",6200,192,184,175,12,11.5,4.7,8.6,1,11.7
296,"UGC00023",,,,,"shg2005","AOlf",7983,396,381,,25,2.3,1.98,8.8,1,2.5
298,"UGC00024",4452,168,16,1,"shg2005","AOlf",4452,184,177,168,16,6.7,4.33,8.7,1,11.1
301,"UGC00025",5091,272,19,1,"shg2005","AOlf",5091,290,281,272,19,3.8,3.67,8.7,1,6.3
303,"UGC00026",4974,240,9,1,"shg2005","AOlf",4974,258,249,240,9,15.3,9.01,8.7,1,17.2
305,"UGC00027",3121,210,7,2,"shg2005","AOlf",3123,225,218,209,8,23.2,8.93,8.6,1,25.1
309,"UGC00030",,,,,"shg2005","AOlf",4770,266,258,,50,2.8,2.55,8.4,1,3.5
312,"PG0000312",3810,301,14,1,"tmc2006","Nanc",3810,319,310,301,14,8.8,11.93,10.8,1,18.4
314,"AGC100784",4843,107,17,1,"hgm2011","ALFA",4843,118,113,107,17,5,1.49,5.3,1,5.8
323,"AGC100025",7549,142,14,2,"shg2005","AOlf",7549,161,153,145,19,2.6,1,8.7,1,3.2
325,"AGC400054",10073,217,12,2,"shg2005","GB300",10076,247,233,224,16,7,7.4,11.7,1,13
332,"UGC00031",1039,64,15,1,"shg2005","AOlf",1039,72,68,64,15,8.1,2.33,8.5,1,7
354,"UGC00034",6154,472,18,1,"shg2005","AOlf",6154,495,481,472,18,5.1,2.03,8.7,1,2
355,"AGC100030",,,,,"shg2005","AOlf",14406,758,714,,60,1.6,1.29,9,2,0.9
365,"UGC00035",3120,81,16,1,"shg2005","AOlf",3120,91,86,81,16,6.7,1.83,8.6,1,5.8
366,"UGC00036",,,,,"shg2005","AOlf",6310,518,503,,40,1.2,2.23,8.8,1,2
367,"NGC007821",7426,503,13,2,"archi12","GBT",7429,533,517,508,17,4.9,3.58,3.3,2,3.4
376,"UGC00037",,,,,"shg2005","AOlf",5639,738,720,,50,0.8,1.6,8.7,1,1
381,"AGC100035",10424,145,20,1,"shg2005","AOlf",10424,163,153,145,20,2.1,1.19,8.8,1,3.8
388,"ES409-015",737,41,17,1,"ksk2004","PAKS",737,70,43,41,17,5.4,6.76,13.3,4,33
393,"UGC000039",9523,501,17,1,"tmc2006","Nanc",9523,532,510,501,17,5.1,3.72,11.2,1,3.5
415,"UGC00040",7532,372,13,2,"shg2005","AOlf",7544,392,378,369,19,3.2,2.41,8.8,1,2.8
431,"UGC00041",6615,250,16,1,"shg2005","AOlf",6615,269,259,250,16,7.2,3.6,8.8,1,6.5
446,"AGC100037",3182,61,16,1,"sgh2008","ALFA",3182,68,65,61,16,6.7,1.19,5.3,1,7.8
450,"UGC00042",5511,132,16,1,"shg2005","AOlf",5511,147,140,132,16,6.5,1.88,8.7,1,5.6
458,"UGC00044",,,,,"shg2005","AOlf",6244,102,96,,25,2.6,0.61,8.8,1,3.1
462,"ES472-014",8119,355,20,1,"archi12","GBT",8119,387,364,355,20,2.4,1.25,3.3,8,1.8
465,"AGC100038",11538,421,19,1,"shg2005","AOlf",11538,456,430,421,19,3.1,1.16,8.9,2,1.3
474,"ES293-034",,,,,"ksk2004","PAKS",1521,262,254,,100,7,24.32,13.3,1,45.4
477,"UGC00046",,,,,"shg2005","AOlf",5452,404,393,,47,0.9,2.57,8.5,1,3.2
483,"NGC007828",,,,,"tmc2006","Nanc",5717,355,343,,100,5.3,4.28,10.7,1,5.8
496,"UGC00047",903,79,18,1,"shg2005","AOlf",903,88,84,79,18,4.8,4.76,8.4,1,22.3
499,"UGC00048",4311,76,11,1,"shg2005","GB300",4311,87,80,76,11,12.9,12.72,11.3,1,68.9
504,"UGC00049",5248,117,16,1,"shg2005","AOlf",5248,131,124,117,16,7,2.94,8.7,1,10.8
507,"UGC00050",7559,385,20,1,"shg2005","AOlf",7566,423,408,,80,5.8,3.04,8.8,1,3.3
511,"UGC00051",5370,278,18,1,"shg2005","AOlf",5370,296,287,278,18,4.3,2.2,8.5,1,3.5
515,"UGC00052",5255,218,11,2,"shg2005","AOlf",5252,243,235,226,14,9.6,4.96,8.5,1,9.8
517,"UGC00053",7902,148,18,1,"shg2005","AOlf",7902,165,156,148,18,5,1.92,8.8,1,5.4
524,"AGC100040",5307,188,17,1,"shg2005","AOlf",5307,205,197,188,17,5.3,1.1,8.7,1,2.7
525,"AGC100042",,,,,"shg2005","AOlf",11531,695,651,,36,1.4,0.74,8.9,4,0.5
527,"UGC000054",4249,192,15,1,"ctm2010","GBT",4249,207,201,192,15,8.2,3.28,1.6,4,7.9
540,"UGC000055",5132,110,20,1,"tmc2006","Nanc",5132,130,117,110,20,3.9,2.15,10.9,2,8.2
548,"UGC00056",5451,186,17,1,"shg2005","AOlf",5451,203,195,186,17,5.2,1.84,8.7,1,4.4
558,"ES538-022",10154,505,20,1,"tmc2006","Nanc",10154,578,514,505,20,2.9,2.78,11.3,8,2.4
559,"AGC100044",5410,183,17,1,"shg2005","AOlf",5410,204,192,183,17,4.9,2.21,8.6,2,5.7
564,"UGC00057",,,,,"shg2005","AOlf",4576,331,322,,40,3.8,12.44,8.6,1,17.6
565,"UGC00058",,,,,"shg2005","AOlf",3932,337,328,,100,2.6,1.08,8.5,1,1.4
567,"UGC00059",7547,343,19,1,"shg2005","AOlf",7547,365,352,343,19,3.7,1.95,8.7,1,2.9
569,"UGC00060",5087,477,18,1,"shg2005","AOlf",5087,499,486,477,18,4.4,5.44,8.7,1,5.4
590,"AGC100046",,,,,"shg2005","AOlf",7044,143,135,,25,1.9,0.4,8.6,1,1.4
598,"UGC00063",462,42,16,1,"shg2005","AOff",462,53,45,42,16,7.4,1.93,8.4,2,14.6
602,"AGC100049",,,,,"shg2005","AOlf",7861,448,428,,25,2.3,0.63,8.7,2,0.8
608,"NGC07836",,,,,"ctf2009","AOG",4946,255,248,,40,1.4,0.92,1.3,4,1.6
613,"UGC00066",6434,373,17,1,"shg2005","AOlf",6434,395,382,373,17,6.1,2.21,8.8,1,2.4
616,"UGC00067",,,,,"shg2005","AOlf",11847,654,625,,30,1.6,2.04,9,1,1.6
617,"UGC00068",,,,,"shg2005","AOlf",8811,282,270,,25,5,2.96,8.8,1,4.6
619,"UGC00069",4641,168,7,2,"shg2005","AOlf",4650,184,177,168,12,12.1,6.98,8.7,1,18.5
621,"ES349-031",218,40,20,1,"ksk2004","PAKS",218,49,42,40,20,1.6,2.37,13.2,1,22.5
627,"AGC020097",1497,158,9,2,"shg2005","GB140",1501,175,172,163,17,5.5,13.38,4.2,1,42
631,"AGC100055",12628,105,16,1,"shg2005","AOlf",12628,121,112,105,16,6.3,1.16,9,1,4.7
634,"AGC020098",6800,554,19,1,"shg2005","Nanc",6800,579,563,554,19,2.7,6.16,5.5,1,5.2
637,"PG0000637",,,,,"tmc2006","Nanc",,,,,500,1.5,0.13,10.8,1,0.5
638,"UGC000071",,,,,"tmc2006","Nanc",8226,221,204,,40,3.2,1.3,11.1,2,2.6
642,"NGC000011",4441,466,19,1,"ctm2010","GBT",4441,489,475,466,19,2.4,1.45,1.6,8,1.4
644,"UGC00076",4580,192,19,1,"shg2005","AOlf",4580,208,201,192,19,3.8,2.96,8.6,1,7
645,"UGC00074",3946,225,14,1,"shg2005","AOlf",3946,241,234,225,14,9.1,2.92,8.6,1,5.6
647,"UGC00075",865,90,13,1,"shg2005","AOlf",865,100,96,90,13,10.5,12.23,8.3,1,44.2
650,"UGC00077",4828,464,19,1,"shg2005","AOlf",4828,485,473,464,19,2.8,3.95,8.7,1,4.1
652,"NGC00009",4524,148,11,1,"ctf2009","AOG",4524,161,156,148,11,13,3.44,1.3,4,9.8
654,"UGC00079",4345,181,15,1,"shg2005","AOlf",4345,197,190,181,15,7.9,5.68,8.7,1,13.1
657,"AGC100056",10892,290,19,1,"shg2005","AOlf",10892,314,299,290,19,2.4,1.28,8.9,1,2.1
658,"UGC00081",6691,479,18,1,"shg2005","AOlf",6691,503,488,479,18,5.1,4.91,8.8,1,4.8
659,"ES349-033",,,,,"tmc2006","Nanc",6873,439,418,,40,4.1,3.55,11,2,3.8
661,"UGC00082",,,,,"shg2005","AOlf",6304,557,541,,47,0.9,0.93,8.6,1,0.8
676,"UGC00085",,,,,"shg2005","GB300",5153,357,345,,60,3.2,8.48,11.4,1,10.5
689,"AGC102902",10557,108,17,1,"hgm2011","ALFA",10557,122,115,108,17,4.9,1.25,5.5,1,4.8
690,"UGC00086",8322,367,13,2,"shg2005","AOlf",8334,405,390,381,18,4.3,4.46,8.8,1,5.6
693,"AGC100061",17224,243,18,1,"shg2005","AOlf",17224,271,252,243,18,3.5,1.77,9.3,1,3.1
696,"UGC00088",,,,,"shg2005","AOlf",3971,274,266,,25,1.8,1.59,8.5,1,2
697,"AGC100062",872,52,13,1,"hgm2011","ALFA",872,58,55,52,13,10.5,1.77,5.2,1,13
698,"NGC00023",4568,367,7,2,"ctf2009","GBT",4569,381,371,362,8,22.5,8.89,2.1,4,11.2
701,"AGC020114",554,202,10,2,"shg2005","GB140",553,215,213,204,15,7.5,53.22,4.1,1,121.3
703,"UGC00090",,,,,"shg2005","AOlf",906,76,72,,30,2.5,0.84,8.3,1,5.5
705,"AGC102746",6839,241,19,1,"hgm2011","ALFA",6839,258,250,241,19,2.9,1.52,5.3,1,3
707,"UGC00092",8188,91,15,1,"shg2005","AOlf",8188,104,97,91,15,8.5,4.05,8.8,1,11.1
709,"UGC00091",,,,,"shg2005","AOlf",8215,388,373,,50,3.7,4.09,8.8,1,4.5
721,"AGC020116",1545,25,9,2,"shg2005","Nanc",1545,30,27,25,12,11.3,8.38,5.3,1,97.2
726,"UGC00093",4966,261,18,1,"shg2005","AOlf",4966,279,270,261,18,4.8,6.46,8.7,1,11.4
727,"AGC100064",11474,358,20,1,"shg2005","AOlf",11474,390,367,358,20,2,1.55,8.9,2,2
731,"UGC00095",7059,451,20,1,"shg2005","AOlf",7059,475,460,451,20,2.1,2.99,8.8,1,3.1
732,"NGC00026",4592,296,6,2,"ctf2009","AOG",4591,311,306,297,8,17.8,10.35,1.3,1,16.2
742,"UGC00096",,,,,"shg2005","AOlf",7862,465,449,,30,2.5,4.43,8.8,1,4.6
743,"PG0000743",8164,289,18,1,"tmc2006","Nanc",8164,312,298,289,18,3.4,3.49,10.9,1,5.6
747,"AGC100066",10434,199,18,1,"shg2005","AOlf",10434,220,208,199,18,4.4,1.09,8.8,1,2.5
757,"UGC00099",1736,74,8,1,"shg2005","AOlf",1736,83,78,74,8,98.1,7.28,8.3,1,38.4
759,"UGC00098",4797,307,19,1,"shg2005","AOlf",4797,325,316,307,19,3.5,5,8.5,1,7.4
760,"AGC100068",,,,,"shg2005","AOlf",6173,129,122,,25,2.8,2.1,8.6,1,6.1
767,"NGC00021",4770,382,7,3,"ctf2009","AOG",4771,397,390,381,9,15.5,10.79,1.3,1,8.6
772,"UGC00101",10256,455,19,1,"shg2005","AOlf",10256,484,464,455,19,3.1,2.98,8.9,1,3.1
779,"UGC00102",,,,,"shg2005","AOlf",6781,432,405,,34,3.4,2.23,8.6,4,2.5
786,"AGC100073",,,,,"shg2005","AOlf",8155,325,308,,31,1.6,1.67,8.7,2,2.5
789,"ES349-038",7854,538,20,1,"tmc2006","Nanc",7854,573,547,538,20,4,3.2,11.1,2,2.8
791,"UGC00105",,,,,"shg2005","AOlf",8038,251,240,,25,2.6,1.52,8.8,1,2.8
793,"AGC100072",12762,406,19,1,"shg2005","AOlf",12762,437,415,406,19,2.8,1.59,9,1,1.8
798,"UGC00106",6039,442,9,2,"shg2005","AOlf",6042,467,453,444,10,14.2,8.03,8.7,1,9.5
807,"AGC100075",,,,,"shg2005","AOlf",11463,372,354,,30,1.6,0.92,8.9,1,1.2
810,"UGC00107",,,,,"shg2005","AOlf",7445,393,379,,40,1.2,1.49,8.6,1,1.6
816,"UGC00108",,,,,"shg2005","AOlf",8047,417,402,,50,0.8,1.06,8.7,1,1.2
817,"ES409-026",7772,312,20,1,"tmc2006","Nanc",7772,340,321,312,20,4.2,6.8,10.9,2,9.5
828,"AGC100078",,,,,"shg2005","AOlf",7576,261,250,,50,3.7,2.48,8.6,1,4.6
830,"UGC00110",4512,165,11,2,"shg2005","AOlf",4518,183,176,167,18,4.4,2.61,8.7,1,4.9
832,"AGC100079",10748,313,17,1,"shg2005","AOlf",10748,338,322,313,17,4.6,3.69,8.8,1,5.5
833,"UGC00111",6352,236,16,1,"shg2005","AOlf",6352,255,245,236,16,6.7,3.99,8.6,1,8.1
835,"AGC100080",7400,317,20,1,"shg2005","AOlf",7415,338,321,,25,3.1,2.39,8.7,2,3.1
841,"UGC00112",5016,59,15,1,"shg2005","GB300",5016,69,62,59,15,8.4,3.74,11.4,1,26.4
847,"UGC00113",7647,505,19,1,"shg2005","AOlf",7647,532,514,505,19,3.5,4.58,8.8,1,4
859,"UGC00116",8477,337,18,1,"shg2005","AOlf",8477,360,346,337,18,4.6,5.28,8.7,1,7
865,"NGC00041",5954,331,13,2,"ctf2009","AOG",5954,363,351,342,17,5.6,1.93,1.3,8,2.7
866,"AGC102904",,,,,"hgm2011","ALFA",7572,259,247,,100,2.9,2.59,5.3,2,3.4
869,"UGC00117",4767,207,16,1,"shg2005","AOlf",4767,224,216,207,16,6.9,7.01,8.7,1,15.5
878,"UGC000119",2028,90,8,1,"hgm2011","ALFA",2028,99,96,90,8,24.4,7.87,5.2,1,31
881,"AGC100089",,,,,"shg2005","AOlf",12451,139,129,,30,7.6,1.82,8.9,1,6.1
889,"UGC00122",854,89,8,1,"shg2005","AOlf",854,99,95,89,8,37.5,13.12,8.3,1,60.4
897,"IC000004",5011,244,10,1,"ctf2009","AOG",5011,263,253,244,10,15.1,3.46,1.3,8,6.3
902,"PG0000902",5405,313,20,1,"tmc2006","Nanc",5405,339,322,313,20,4.3,3.23,10.9,2,4.6
908,"AGC100090",7135,427,20,1,"shg2005","AOlf",7135,451,436,427,20,2.3,3.29,8.7,1,3.5
912,"UGC00127",4687,191,6,2,"shg2005","AOlf",4694,206,198,190,10,13.9,7.3,8.7,1,17.4
913,"UGC00128",4537,207,12,2,"shg2005","AOlf",4546,227,219,210,18,4.6,8.56,8.7,1,19.3
916,"PG0000916",,,,,"tmc2006","Nanc",,,,,500,2.6,0.18,10.8,1,1.1
917,"AGC100094",11839,206,20,1,"shg2005","AOlf",11839,233,215,206,20,2.3,0.86,8.9,2,1.8
918,"AGC100091",,,,,"shg2005","AOlf",5196,83,77,,25,2.6,0.38,8.5,1,1.7
919,"AGC100093",6949,74,20,1,"shg2005","AOlf",6949,84,78,74,20,3.3,1.07,8.6,1,4.9
924,"UGC00132",1696,140,17,1,"shg2005","AOlf",1696,153,148,140,17,5.4,2.89,8.5,1,7
926,"ES050-006",4186,68,16,1,"ksk2004","PAKS",4186,80,72,68,16,6.5,9.23,13.6,1,46.2
929,"NGC00048",,,,,"ctf2009","GBT",,,,,500,0.5,0.44,1.6,4,0.3
930,"NGC00045",467,157,5,3,"ctf2009","GBT",466,163,161,152,8,204.4,159.51,1,4,477.4
937,"UGC000135",5838,216,18,1,"ctm2010","GBT",5838,233,225,216,18,4.1,1.77,1.7,4,3.7
963,"UGC00139",3971,287,11,2,"shg2005","AOlf",3979,301,293,284,18,4.6,11.26,8.6,1,23.6
967,"AGC400160",5698,199,12,2,"shg2005","Nanc",5693,218,211,202,19,2.5,6.85,5.5,1,12
973,"AGC100099",11490,242,19,1,"shg2005","AOlf",11490,265,251,242,19,2.7,1.37,8.8,1,2.6
978,"UGC00140",,,,,"shg2005","AOlf",5415,606,591,,25,2.7,3.77,8.7,1,3.1
983,"NGC000050",,,,,"tmc2006","Nanc",5670,160,146,,80,3.1,2.24,10.9,2,5.8
986,"CGC408-42",,,,,"shg2005","AOlf",12618,261,246,,100,4.2,1.78,9.1,1,3.2
994,"AGC100101",7357,137,10,2,"shg2005","AOlf",7358,150,142,134,16,6.4,3.44,8.7,1,9.8
997,"AGC100103",17011,507,18,1,"shg2005","AOlf",17011,550,516,507,18,4.5,3.12,9.3,1,2.9
1006,"AGC100104",,,,,"shg2005","AOlf",5408,210,198,,25,2.5,0.37,8.6,2,0.9
1011,"NGC000054",5340,395,18,1,"tmc2006","Nanc",5340,417,404,395,18,4.3,2.76,10.9,1,3.2
1012,"PG0001012",,,,,"tmc2006","Nanc",7716,382,367,,100,2.2,4.28,10.8,1,5.4
1014,"NGC000055",129,166,13,1,"ksk2004","PAKS",129,181,174,166,13,26.4,2009.69,13.2,1,5476.8
1022,"PG0001022",7778,313,18,1,"tmc2006","Nanc",7778,336,322,313,18,3.8,2.79,10.9,1,4.1
1030,"UGC00144",,,,,"shg2005","AOlf",5607,266,257,,37,1.3,0.34,8.6,1,0.5
1031,"AGC100109",5565,196,15,1,"shg2005","AOlf",5565,213,205,196,15,7.3,3.06,8.6,1,6.9
1042,"AGC100111",20366,129,20,1,"shg2005","AOlf",20366,151,137,129,20,2,0.38,9.4,1,1.2
1051,"UGC00148",4212,310,17,1,"shg2005","AOlf",4212,328,319,310,17,5.2,7.67,8.7,1,11.1
1056,"UGC00149",5474,276,15,1,"shg2005","AOlf",5474,295,285,276,15,1.9,3.23,8.6,1,5.4
1058,"UGC00150",11808,263,18,1,"shg2005","AOlf",11808,287,272,263,18,4.2,4.97,8.9,1,7.1
1085,"NGC00061B",,,,,"tmc2006","Nanc",,,,,500,0.6,0.3,10.9,1,0.7
1089,"UGC00152",4877,227,17,1,"shg2005","AOlf",4877,244,236,227,17,5.4,4.14,8.7,1,8.6
1099,"UGC000153",4373,190,20,1,"tmc2006","Nanc",4373,213,199,190,20,5.3,5.67,10.9,2,12.3
1105,"UGC00154",4137,64,19,1,"shg2005","AOlf",4137,73,68,64,19,3.6,1.71,8.6,1,9.8
1106,"UGC00155",3994,407,14,1,"shg2005","AOlf",3994,426,416,407,14,8.9,7.82,8.6,1,9.4
1108,"AGC100131",6892,133,20,1,"shg2005","AOlf",6892,148,140,133,20,1.7,0.27,8.7,1,0.9
1109,"PG0001109",3942,259,17,1,"tmc2006","Nanc",3942,277,268,259,17,5,5.69,10.8,1,9.3
1113,"AGC000157",9087,120,20,1,"sgh2008","ALFA",9087,134,127,120,20,3,0.86,5.5,1,3.4
1123,"UGC00158",5056,328,17,1,"shg2005","GB300",5056,348,337,328,17,6.2,10.2,11.4,1,14
