"# W/ DUPLICATIONS","#","HIPASS_NAME","OBS_RUN_NIGHT","OBS_DATE","NAME","OBSERVATION COMMENTS","NOD&SHUFFLE","RA","DEC","USED/OR NOT","COMMENT_ON_PPXF","MORPHOLOGICAL_TYPE (BASIC DATA)","MORPHOLOGY_SHORTENED","REDSHIFT","REDSHIFT UNCERTAINTY","MAJOR_AXIS","MINOR_AXIS","BASIC_MAGNITUDE","MAJOR_DIAMETER (ESO Uppsala)","MINOR/MAJOR RATIO (ESO Uppsala)","POSITION ANGLE (ESO Uppsala)","MAJOR_DIAMETER (RC3)","MAJOR_DIAMETER_UNC (RC3)","MINOR/MAJOR RATIO (RC3)","MINOR/MAJOR RATIO UNC (RC3)","POSITION ANGLE (RC3)","HIPASS_RV50max","HIPASS_RV50min","HIPASS_RV20max ","HIPASS_RV20min ","HIPASS_Rvmom ","HIPASS_Rvsp","HIPASS_RVGSR ","HIPASS_RVLG ","HIPASS_RVCMB ","HIPASS_RV1 ","HIPASS_RV2 ","HIPASS_RVsp1 ","HIPASS_RVsp2 ","HIPASS_RVmask","HIPASS_W50max ","HIPASS_W50min ","HIPASS_W20max ","HIPASS_W20min ","HIPASS_Speak","HIPASS_Sint","HIPASS_RMS","HIPASS_RMSclip","HIPASS_RMScube","HIPASS_cube","HIPASS_Sigma","HIPASS_Boxsize","HIPASS_Qual","HIPASS_nb","HIPASS_cf","HIPASS_ext","RC3_PGC","RC3_D25","RC3_e_D25","RC3_R25","RC3_e_R25","RC3_Ae","RC3_e_Ae","A_e in arcsec","RC3_PA","RC3_BT","RC3_BT_code","RC3_e_BT","RC3_Bmag","RC3_e_Bmag","RC3_BoT","RC3_Ai","RC3_Ag","RC3_W50","RC3_e_W50","RC3_cz","2MASX_ID","2MASX_K_b/a","2MASX_K_PA","2MASX_K_mag","2MASX_K_mag_sigma","2MASX_K_mag_chi2","2MRS_E(B-V)","ABSOLUTE_MAGNITUDE_B","ABSOLUTE_MAGNITUDE_K","cos^2(i)","sini","INCLINATION_FROM_R25","HIPASS_W50max_z","HIPASS_W50max_zs","HIPASS_W50max_zst","HIPASS_W50max_zsti","BILBI_CENTRAL_VELOCITY_DISPERSION","BILBI_ERR_VELOCITY_DISP","BILBI_ROTATIONAL_VELOCITY","BILBI_ERR_ROTATIONAL_VELOCITY","BILBI_POSITION_ANGLE","BILBI_STD_DEV_POS_ANG","BILBI_COMMENT_POS_ANG","BILBI_Wmax_z","BILBI_Wmax_zs","BILBI_Wmax_zst","BILBI_Wmax_zsti","IN_THE_TABLE_OR_NOT"
11,11,"HIPASSJ0306-00","run3/night1","14.12.2012","NGC_1211",,1,"03h06m52.4s","-00d47m40s","used",,"(R)SB(r)0/a         ","S0a",0.010729,0.000023,1.53,1.07," 13.2g","                    ","                    ","                    ",125.4,12.1,0.871,0.084,30,3216.6,3249.1,3216.8,3216.8,3219.6,3287.2,3209.6,3248.5,3029,3074.3,3360.4,1863,4738.4,"3074.3;3360.4",201,135.9,238.3,238.3,0.0751,12.5,0.0077,0.0065,0.0122,343,158,28,1,0,0,0,11670,1.32,0.04,0.06,0.04,0.83,0.03,40.5649785235,30,13.26," ",0.15,13.13,0.19,12.92,0.05,0.19," "," ",3199,"03065240-0047399",0.54,-30,9.235,0.025,5.426,0.071,-20.2655414166,-24.0749118929,0.7550502993,0.4949239342,29.6647345992,198.8663627936,195.4343627936,195.3858119962,394.7794771847,112.0366541913,1.8387790373,107.982596072,,145.560161087,6.0730082461,,106.8363488848,103.4043488848,101.7120579119,205.5104853091,1
12,12,"HIPASSJ0309-20","run8/night3","30.10.2014","NGC_1232",,1,"03h09m45.51s","-20d34m45.5s","used",,"SAB(rs)c       HII  ","Sc",0.005347,0.000003,7.4,6.5,10.93,402.72,0.789,108,444.8,10.4,0.871,0.041,108,1678.2,1678.2,1678.1,1678.1,1677.4,1758,1607.9,1623,1517.9,1511.2,1846.5,200.1,3030.3,"1511.2;1846.5",234.6,234.6,262,262,0.6464,132.6,0.0122,0.011,0.0122,243,158,36,1,0,0,1,11819,1.87,0.01,0.06,0.02,1.54,0.02,208.0421102715,108,10.52," ",0.14,10.55,0.17,10.38,0.1,0.04,233,6,1750,"03094551-2034454",0.84,-47,7.381,0.047," ",0.026,-21.2574398548,-24.3484167518,0.7550502993,0.4949239342,29.6647345992,233.3522654367,229.9202654367,229.9487787051,464.6143837621,66.7620666353,1.7914310448,36.9983369783,,170.725507922,8.8424460366,"mostly the bulge",36.8015590421,33.3695590421,28.2004348434,56.9793313554,1
13,13,"HIPASSJ0317-41","run8/night1","28.10.2014","NGC_1291",,1,"03h17m18.59s","-41d06m29.0s","used?","few pixels to work","(R_1)SB(1)0/a  HII  ","S0a",0.002799,0.000006,9.8,8.1,9.39,676.08,0.844,156,586.3,27.6,0.832,0.039,"                    ",838.6,838.6,838.9,838.9,837.1,839.9,712.9,700.8,733.5,736.8,924.3,200,2500,"736.8;924.3",49.3,49.3,87.4,87.4,1.5145,87.7,0.0141,0.0112,0.0115,113,158,44,1,0,0,1,12209,1.99,0.02,0.08,0.02,1.26,0.03,109.1820515166," ",9.39,"S",0.04,9.44,0.15,9.32,0.06,0,40,3,794,"03171859-4106290",0.71,-10,5.658,0.024," ",0.013,-20.7148714742,-24.4521290126,0.6873285013,0.5591703664,33.9984424504,49.1623944579,45.7303944579,41.287978934,73.8379238509,181.7143974858,2.6084592997,"None",,"None","None","face-on?; nearly no rotation","None","None","None","None",1
14,14,"HIPASSJ0323-36","run3/night2","15.12.2012","NGC_1326","guiding star problem?",1,"03h23m56.4s","-36d27m53s","used",,"(R_1)SB(rl)0/a LINER","S0a",0.004537,0.000005,3.9,2.9,12.2,260.02,0.667,77,233.4,11,0.741,0.035,77,1359.1,1279.9,1360,1360,1371,1251.7,1253.2,1245.5,1263.2,1174.6,1539.3,200.1,3030.3,"1174.6;1539.3",244.2,85.9,262,262,0.1232,20,0.016,0.0117,0.0115,152,158,28,1,0,0,0,12709,1.59,0.02,0.13,0.02,0.97,0.03,55.9952580478,77,11.37,"M",0.1,11.42,0.15,11.25,0,0,247,5,1365,"03235639-3627527",0.7,22,7.454,0.023," ",0.019,-19.8511108433,-23.8860916085,0.5429594905,0.6760477124,42.53556403,243.0970685998,239.6650685998,239.7008772985,354.562071422,112.4965190918,1.2429666925,131.810913779,,176.234433713,3.0116128195,,131.2155886533,127.7835886533,126.8630261018,187.6539536628,1
15,15,"HIPASSJ0333-36","run3/night4","17.12.2012","NGC_1365","is something wrong??",1,"03h33m36.4s","-36d08m25s","not used","two or more galaxies?","(R')SBb(s)b;HIISy1.8","Sb",0.005457,0.000003,11.2,6.2,10.32,530.88,0.714,32,673.2,15.7,0.55,0.026,32,1636.4,1753,1635.7,1635.7,1637.1,1784.7,1514.8,1505.6,1539.8,1377.3,1877,200.1,3030.3,"1377.3;1877.0",373.7,140.4,406.8,406.8,0.6767,174.7,0.0158,0.0135,0.0122,153,158,44,1,0,0,1,13179,2.05,0.01,0.26,0.02,1.44,0.03,165.2537222003,32,10.32,"M",0.07,10.23,0.15,9.93,0.36,0,370,6,1675,"03333645-3608263",0.75,49,6.373,0.036," ",0.02,-21.8288765431,-25.3976403143,0.2917970496,0.841547949,57.3039420027,371.671787058,368.239787058,368.273724224,437.6146655301,"None","None","None",,"None","None",,"None","None","None","None",1
16,16,"HIPASSJ0338-26","run3/night4","17.12.2012","NGC_1398",,1,"03h38m52.1s","-26d20m16s","used","but not centered","(R_1R'_2)SB(rs)ab;Sy","Sab",0.004657,0.000013,7.1,5.4,10.63,421.7,0.7,100,424.8,20,0.759,0.036,100,1395.5,1233.2,1395.6,1395.6,1387.5,1198.5,1285,1286.3,1277,1071.5,1677.7,200.1,3030.3,"1071.5;1677.7",454.2,129.7,476.9,476.9,0.1508,43.9,0.0068,0.006,0.0115,196,158,28,1,1,0,0,13434,1.85,0.02,0.12,0.02,1.24,0.02,104.268049725,100,10.57,"M",0.1,10.51,0.16,10.39,0.15,0,447,12,1491,"03385213-2620162",0.92,-87,6.495,0.034," ",0.013,-20.9344165779,-24.8424419983,0.5692369494,0.6563254152,41.0202265169,452.0945954689,448.6625954689,448.6904551745,683.6402260329,232.0431861038,2.6804614805,252.586166448,,178.872738486,0.9839663479,,251.4153252782,247.9833252782,248.0228416044,377.8961409594,1
17,17,"HIPASSJ0342-47","run3/night3","16.12.2012","NGC_1433","no guiding",1,"03h42m01.5s","-47d13m19s","used?","not centered","(R'_1)SB(rs)ab Sy2  ","Sab",0.003589,0.000003,6.5,5.9,10.7,327.34,1,"                    ",387.4,18.3,0.912,0.043,"                    ",1075.2,1075.2,1075.4,1075.4,1074.2,1012.4,926.5,902.7,1011.7,938.7,1252.7,200.1,2419.4,"938.7;1252.7",178.1,178.1,201.6,201.6,0.2046,30.2,0.0077,0.0068,0.0122,78,158,28,1,0,0,0,13586,1.81,0.02,0.04,0.02,1.4,0.02,150.7131858906," ",10.7,"M",0.04,10.75,0.15,10.64,0.05,0,175,7,972,"03420155-4713194",0.61,-85,7.058,0.037," ",0.009,-20.0912565499,-23.8140281244,0.8293057743,0.4131515772,24.4029663184,177.463084988,174.031084988,173.8539744617,420.7994935836,98.1385031495,1.3596412212,"None",,"None","None","didn't work; there might be an interaction; center(found with ppxf) is not right","None","None","None","None",1
18,18,"HIPASSJ0347-33","run8/night3","30.10.2014","IC_1993 ",,1,"03h47m04.81s","-33d42m35.5s","used?","so few pixels to work","(R')SA(s)bc         ","Sbc",0.003602,0.00001,2.5,2.1,12.63,158.49,0.805,57,147.3,14.2,0.871,0.106,"                    ",1101.7,1079,1095.4,1095.4,1096.2,1105.4,971.7,962.5,1010.2,965.9,1226.3,200.1,3030.3,"965.9;1226.3",144.8,99.3,228.1,228.1,0.0329,4.3,0.0071,0.0057,0.0122,153,158,28,2,0,0,0,13840,1.39,0.04,0.06,0.05,1.15,0.03,84.7522526774," ",12.43," ",0.14,12.5,0.21,12.34,0.08,0," "," ",971,"03470480-3342354",0.86,20,8.705,0.071,9.9,0.01,-18.3678248291,-22.1197340727,0.7550502993,0.4949239342,29.6647345992,144.2803023509,140.8483023509,140.2235404521,283.3234175147,25.8019011228,2.534819526,"None",,"None","None","so few pixels","None","None","None","None",1
19,19,"HIPASSJ0403-43","run8/night3","30.10.2014","NGC_1512",,1,"04h03m54.28s","-43d20m55.9s","used","what are the bright patches next to the bulge?","SB(r)ab        AGN  ","Sab",0.002995,0.00001,8.9,5.6,11.13,501.19,0.333,90,534.8,25.2,0.631,0.045,90,900.6,900.6,902.5,902.5,900.6,826.6,749.1,725.4,853.2,692.9,1150.1,200.1,3030.3,"692.9;1150.1",236.4,236.4,272.3,272.3,1.3355,250.2,0.0166,0.0139,0.0115,114,158,52,1,0,0,1,14391,1.95,0.02,0.2,0.03,1.38,0.01,143.9299751412,90,11.13,"M",0.1,11.27,0.15,10.96,0.2,0,234,7,735,"04035428-4320558",0.47,45,7.485,0.039," ",0.011,-19.3526342838,-23.0267328552,0.3893132818,0.7814644702,51.3948571643,235.6940961819,232.2620961819,232.2927179685,297.2530765326,85.2735306228,1.4154659184,159.337174848,,166.423377576,5.0696503374,,158.8613849999,155.4293849999,155.0485121123,198.4076282728,1
20,20,"HIPASSJ0404-54","run8/night2","29.10.2014","NGC_1515",,1,"04h04m02.72s","-54d06m00.2s","used","skewed?","SAB(s)bc            ","Sbc",0.00392,0.000023,5.2,1.1,12.05,331.13,0.238,18,314.9,14.8,0.214,0.01,18,1175.2,1315.5,1183.5,1255.2,1173.5,1331.5,1007,972.2,1147.3,907.2,1429.5,300.3,2317.8,"907.2;1429.5",358.4,77.7,408.6,230.6,0.0703,12.8,0.0067,0.0059,0.0122,50,158,28,1,1,0,0,14397,1.72,0.02,0.67,0.02,1,0.01,60,18,12.05,"M",0.12,11.95,0.15,11.01,0.99,0,352,9,1216,"04040271-5406002",0.4,13,7.835,0.025," ",0.014,-20.1035911012,-23.3515731642,0.031766253,0.9839886925,79.7332684538,357.0005578134,353.5685578134,353.6038909938,359.3576772619,105.509254638,1.6557268791,"None",,"None","None","didn't work; red pixels were missing","None","None","None","None",1
21,21,"HIPASSJ0412-57","run3/night4","17.12.2012","NGC_1543",,1,"04h12m43.2s","-57d44m17s","used",,"(R)SB(l)0^0         ","S0",0.003922,0.000024,4.9,2.8,11.46,436.52,0.669,96,293.9,13.8,0.575,0.041,93,1175.8,1175.8,1180,1180,1171.3,1105.4,998.3,958.8,1159,1006,1354.6,200.1,2419.4,"1019.3;1341.3",191.8,191.8,224.8,224.8,0.0673,9.1,0.0139,0.0088,0.0122,50,158,28,1,1,0,0,14659,1.69,0.02,0.24,0.03,1.09,0.02,73.8161262487,93,11.46,"M",0.12,11.22,0.15,11.35,0,0," "," ",1094,"04124324-5744166",0.55,-84,7.448,0.028," ",0.027,-19.8656185631,-23.7114489323,0.3213586866,0.8237968885,55.466703161,191.0506991579,187.6186991579,187.5333747694,227.6451603511,167.7176524199,1.9632857852,119.667282158,,37.9902435648,4.7347565393,,119.1997806184,115.7677806184,114.5033742979,138.9946671351,1
22,22,"HIPASSJ0419-54","run3/night3","16.12.2012","NGC_1566",,1,"04h20m00.4s","-54d56m16s","used",,"(R'_1)SAB(rs)bcSy1  ","Sbc",0.005017,0.000007,8.3,6.6,10.33,421.7,0.692,60,499.1,23.5,0.794,0.037,60,1503,1503,1503.2,1503.2,1506.1,1571.2,1333,1294.9,1495.4,1304.1,1696.8,300.3,2521,"1304.1;1696.8",205.8,205.8,234,234,0.9723,154.4,0.0148,0.0133,0.0122,50,158,44,1,0,0,1,14897,1.92,0.02,0.1,0.02,1.34,0.03,131.265697437,60,10.33,"M",0.03,10.13,0.16,10.16,0.15,0,206,7,1449,"04200041-5456161",0.95,-10,6.886,0.034," ",0.009,-21.6563979315,-24.7860922217,0.6255654875,0.6119105429,37.7277762271,204.7726555869,201.3406555869,201.3138015939,328.992209618,102.3487618543,1.7895991406,135.608916694,,139.730129126,6.3773320687,"there is another object next to the galaxy",134.9319630355,131.4999630355,130.6715702493,213.5468521791,1
23,23,"HIPASSJ0420-45","run8/night1","28.10.2014","NGC_1558",,1,"04h20m16.18s","-45d01m53.3s","used",,"(R')SA(rs)b         ","Sb",0.015103,0.00003,2.5,1,13.26,156.68,0.371,72,147.3,14.2,0.417,0.051,72,4527.9,4439," ",4523.6,4493.7,4315.3,4332.1,4303.3,4467.2,4212,4800.2,2813.4,6253.6,"4212.0;4800.2",493.9,316.2," ",522.8,0.0501,16.5,0.0074,0.006,0.0115,114,158,28,1,1,0,0,14906,1.39,0.04,0.38,0.05," "," ",,72," "," "," ",13.26,0.21,12.68,0.55,0," "," ",4541,"04201617-4501533",0.4,75,9.451,0.029,9.9,0.022,-21.278840908,-24.7511537948,0.161708688,0.9155824988,66.2885854803,486.5516110188,483.1196110188,483.1454838354,527.6919168888,174.6082001274,2.612297969,165.582253675,,175.797256236,2.6630507814,,163.1186723663,159.6866723663,159.3619813216,174.0552943498,1
24,24,"HIPASSJ0436-03","run3/night1","14.12.2012","NGC_1622",,1,"04h36m36.6s","-03d11m20s","used",,"SAB(r)ab:           ","Sab",0.016155,0.000025,3.6,0.7,13.4,"                    ","                    ","                    ",217.8,15.6,0.2,0.024,45,4843,4724.9,4842,4842,4845.1,4709.5,4769.2,4781.4,4791.1,4524.4,5169.4,3251.5,6194.8,"4524.4;5169.4",570.9,334.7,601.9,601.9,0.0616,24.9,0.0069,0.0063,0.0122,346,158,28,1,1,0,0,15635,1.56,0.03,0.7,0.05," "," ",,45,13.4," ",0.2," "," "," ",0.87,0.16," "," "," ","04363665-0311200",0.42,35,9.177,0.03,3.689,0.067,"None",-25.1954338924,0.0257819775,0.9870248338,80.7601524973,561.8237375204,558.3917375204,558.4141227897,565.7548864904,212.9189085842,3.1144539039,289.858281168,,135.05562414,5.398857485,,285.2500663462,281.8180663462,281.8606092395,285.5658739249,1
